bin	genus_type	genus_proposed	species_proposed	language	gender	genus_explanation	species_explanation	genus_status	species_status	novelty_method	accession	sequencing_technology	binning_workflow	genome_size	total_contigs	coverage	GC_content	completeness_estimate	contamination_estimate	count_16S	count_tRNA	taxonomy_GTDB	taxonomy_SILVA	taxonomy_SILVA_perc	sample_name	sample_country	longitude	latitude	sample_type	sample_habitat_broad	sample_habitat_local
MFD00125.bin.c.1	Y	Lysgardimen	nordicum	N.L.	neut.	Microbe found nearby Lysgaard	A species from the Nordic region	Formerly ''Palsa-744'' in GTDB R220	Formerly ''soil metagenome'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963705245.1	Oxford Nanopore PromethION	mmlong2	2875956	1	57.595806	65.75	95.01	0.81	1	22	d_Bacteria;p_Actinomycetota;c_Thermoleophilia;o_Solirubrobacterales;f_Solirubrobacteraceae;g_Palsa-744;s_Unclassified	d_Bacteria;p_Actinomycetota;c_Thermoleophilia;o_Solirubrobacterales;f_Solirubrobacteraceae;g_Incertae Sedis;s_soil metagenome	99.2	MFD00125	Denmark	9.3585	56.3674	Soil	Forests	Beech forests Luzulo-Fagetum
MFD01112.bin.c.2	Y	Sjoeringiria	similis	N.L.	fem.	Microbe found nearby Sjoerring	A species related to but distinct from the existing species	Formerly ''JAKAUA01'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963713925.1	Oxford Nanopore PromethION	mmlong2	1318721	1	31.344833	40.75	95.75	0.06	1	22	d_Bacteria;p_Dependentiae;c_Babeliae;o_Babeliales;f_Vermiphilaceae;g_JAKAUA01;s_Unclassified	d_Bacteria;p_Dependentiae;c_Babeliae;o_Babeliales;f_Vermiphilaceae;g_Incertae Sedis;s_uncultured soil bacterium	91.4	MFD01112	Denmark	8.5933	56.9351	Soil	Bogs, mires and fens	Quaking bogs
MFD05454.bin.1.63	Y	Maglebyana	borealis	N.L.	fem.	Microbe found nearby Magleby	A species from the north	Formerly ''JALZKA01'' in GTDB R220	Formerly ''uncultured bacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963715405.1	Oxford Nanopore PromethION	mmlong2	2561778	1	19.22605	67.22	92.15	0.01	1	22	d_Bacteria;p_Actinomycetota;c_Thermoleophilia;o_Solirubrobacterales;f_70-9;g_JALZKA01;s_Unclassified	d_Bacteria;p_Actinomycetota;c_Thermoleophilia;o_Solirubrobacterales;f_67-14;g_Incertae Sedis;s_uncultured bacterium	99.1	MFD05454	Denmark	12.5121	54.9631	Soil	Grassland formations	Calcareous grassland
MFD02138.bin.1.26	Y	Gjesingius	terreum	N.L.	masch.	Microbe found nearby Gjesing	A species found in soil	Formerly ''FEN-1297'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963834015.1	Oxford Nanopore PromethION	mmlong2	5257256	4	89.66774	35.52	100	2.22	1	22	d_Bacteria;p_Bacteroidota;c_Ignavibacteria;o_Ignavibacteriales;f_Ignavibacteriaceae;g_FEN-1297;s_Unclassified	d_Bacteria;p_Ignavibacteriota;c_Ignavibacteria;o_Ignavibacteriales;f_LD-RB-34;g_Incertae Sedis;s_uncultured bacterium	95.8	MFD02138	Denmark	10.5085	56.4556	Soil	Bogs, mires and fens	Quaking bogs
MFD08669.bin.1.20	Y	Foevlingiria	terrea	N.L.	fem.	Microbe found nearby Foevling	A species found in soil	Formerly ''VAXT01'' in GTDB R220	Formerly ''uncultured actinobacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963850415.1	Oxford Nanopore PromethION	mmlong2	2966105	4	25.86612	68.75	90.86	1.39	1	23	d_Bacteria;p_Actinomycetota;c_Thermoleophilia;o_Gaiellales;f_Gaiellaceae;g_VAXT01;s_Unclassified	d_Bacteria;p_Actinomycetota;c_Thermoleophilia;o_Gaiellales;f_Incertae Sedis;g_Incertae Sedis;s_uncultured actinobacterium	99.4	MFD08669	Denmark	8.920947061	55.45114444	Soil	Fields	Barley, Spring
MFD00709.bin.1.50	Y	Hanstediana	lacustris	N.L.	fem.	Microbe found nearby Hansted	A species found in a lake	Formerly ''DAHXMV01'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963736875.1	Oxford Nanopore PromethION	mmlong2	997761	5	21.934502	45.6	91.45	0.68	1	19	d_Bacteria;p_Patescibacteria;c_Microgenomatia;o_GWA2-44-7;f_Amesbacteraceae;g_DAHXMV01;s_Unclassified	d_Bacteria;p_Patescibacteria;c_Microgenomatia;o_Candidatus Amesbacteria;f_Incertae Sedis;g_Incertae Sedis;s_uncultured bacterium	86.5	MFD00709	Denmark	9.854411784	55.9091489	Sediment	Freshwater	Lake, Rich pondweed
MFD10043.bin.1.19	Y	Alsgardeus	septentrionalis	N.L.	masch.	Microbe found nearby Alsgarde	A species from the north	Formerly ''VRUE01'' in GTDB R220	Formerly ''uncultured bacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963712595.1	Oxford Nanopore PromethION	mmlong2	2630635	6	45.98017	68.52	92.83	0.55	1	22	d_Bacteria;p_Actinomycetota;c_Thermoleophilia;o_Solirubrobacterales;f_70-9;g_VRUE01;s_Unclassified	d_Bacteria;p_Actinomycetota;c_Thermoleophilia;o_Solirubrobacterales;f_67-14;g_Incertae Sedis;s_uncultured bacterium	99.9	MFD10043	Denmark	12.5417	56.075	Soil	Greenspaces	Parks
MFD04570.bin.1.112	Y	Gravleviana	adiacens	N.L.	fem.	Microbe found nearby Gravlev	A species related to but distinct from the existing species	Formerly ''PALSA-1003'' in GTDB R220	Formerly ''uncultured bacterium'' in Silva 138.2	GTDB marker genes and 16S rRNA	GCA_963763625.1	Oxford Nanopore PromethION	mmlong2	3892265	6	35.71529	64.08	92.71	0.15	1	21	d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Burkholderiales;f_Casimicrobiaceae;g_PALSA-1003;s_Unclassified	d_Bacteria;p_Pseudomonadota;c_Gammaproteobacteria;o_Burkholderiales;f_A21b;g_Incertae Sedis;s_uncultured bacterium	99.8	MFD04570	Denmark	9.821	56.8309	Soil	Grassland formations	Molinia meadows
MFD05674.bin.1.49	Y	Sonderborgimen	scandium	N.L.	neut.	Microbe found nearby Sonderborg	A species from Scandinavia	Formerly ''PMNU01'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963843205.1	Oxford Nanopore PromethION	mmlong2	1292262	6	13.71658	51.06	94.39	0.64	1	21	d_Bacteria;p_Patescibacteria;c_Saccharimonadia;o_Saccharimonadales;f_UBA4665;g_PMNU01;s_Unclassified	d_Bacteria;p_Patescibacteria;c_Saccharimonadia;o_Saccharimonadales;f_YM_S32_TM7_50_20;g_Incertae Sedis;s_uncultured Candidatus Saccharibacteria bacterium	94.7	MFD05674	Denmark	9.842462439	54.90177423	Sediment	Freshwater	Lake, Rich pondweed
MFD02809.bin.1.217	Y	Siemibacter	propinquus	N.L.	masch.	Microbe found nearby Siem	A species related to but distinct from the existing species	Formerly ''20CM-2-65-7'' in GTDB R220	sp. nov.	GTDB marker genes and 16S rRNA	GCA_963830455.1	Oxford Nanopore PromethION	mmlong2	3466775	8	31.64623	66.29	100	0.53	1	23	d_Bacteria;p_Gemmatimonadota;c_Gemmatimonadetes;o_Gemmatimonadales;f_GWC2-71-9;g_20CM-2-65-7;s_Unclassified	d_Bacteria;p_Gemmatimonadota;c_Gemmatimonadia;o_Gemmatimonadales;f_Gemmatimonadaceae;g_Incertae Sedis;s_uncultured bacterium	98.6	MFD02809	Denmark	10.0546	56.815	Soil	Greenspaces	Parks
